CodSite;lat;long;specie;NumIndiv;habitat
Site3;-22.7222082;-42.628058;Chrysophyllum flexuosum Mart.;3;Submontane Dense Ombrophilous Atlantic Forest 
Site13;-21.999167;-43.890833;Chrysophyllum gonocarpum (Mart. & Eichler) Engl.;1;Montane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Chrysophyllum inornatum Mart.;10;Montane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Chrysophyllum januarensis Eichl.      ;5;Submontane Dense Ombrophilous Atlantic Forest 
Site1;-20.798333;-41.292778;Chrysophyllum lucentifolium Cronquist;67;Submontane Seasonal Atlantic Forest
Site10;-20.673889;-40.393889;Chrysophyllum lucentifolium Cronquist;51;Submontane Dense Ombrophilous Atlantic Forest 
Site1;-20.798333;-41.292778;Chrysophyllum lucentifolium Cronquist;97;Submontane Seasonal Atlantic Forest
Site1;-20.798333;-41.292778;Chrysophyllum splendens Spreng.;4;Submontane Seasonal Atlantic Forest
Site15;-27.816111;-50.324167;Cinnamodendron dinisii Schwacke;13;Mixed Ombrophilous Atlantic Forest
Site4;-28.733333;-49.75;Cinnamomum glaziovii (Mez) Kosterm.;2;Montane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Cinnamomum triplinerve (Ruiz & Pav.) Kosterm.;3;Montane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Citharexylum myrianthum Cham.;8;Montane Dense Ombrophilous Atlantic Forest 
Site8;-22.710833;-45.931667;Citronella paniculata (Mart.) Howard;0;High-montane Dense Ombrophilous Atlantic Forest
Site2;-22.528333;-50.715556;Citronella paniculata (Mart.) R.A.Howard;7;Montane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Citronella paniculata (Mart.) R.A.Howard;18;Montane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Citronella paniculata (Mart.) R.A.Howard;1;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Citronella paniculata (Mart.) R.A.Howard;4;Montane Cloud Atlantic Forest
Site1;-20.798333;-41.292778;Clarisia racemosa Ruiz & Pav.;14;Submontane Seasonal Atlantic Forest
Site7;-7.633333;-35.5;Clarisia racemosa Ruiz & Pav.;13;Montane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Clethra scabra Pers.;2;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Clethra scabra Pers.;2;Montane Cloud Atlantic Forest
Site15;-27.816111;-50.324167;Clethra scabra Pers.;4;Mixed Ombrophilous Atlantic Forest
Site10;-20.673889;-40.393889;Clusia hilariana Schldtl.      ;1;Submontane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Clusia pernambucensis G.Mariz;1;Montane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Clusia spiritu-sanctensis G. Maris & Weinberg   ;1;Submontane Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Cnidoscolus oligandrus (Müll. Arg.) Pax;2;Lowlands Seasonal Atlantic Forest 
Site1;-20.798333;-41.292778;Cnidoscolus oligandrus (Müll. Arg.) Pax;10;Submontane Seasonal Atlantic Forest
Site10;-20.673889;-40.393889;Coccoloba alnifolia Casar.      ;10;Submontane Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Coccoloba mollis Casar.;18;Lowlands Seasonal Atlantic Forest 
Site7;-7.633333;-35.5;Coccoloba parimensis Benth.;1;Montane Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Colubrina glandulosa Perkins;1;Lowlands Seasonal Atlantic Forest 
Site2;-22.528333;-50.715556;Connarus detersus Planch.;2;Montane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Copaifera langsdorffii Desf.;13;Montane Seasonal Atlantic Forest 
Site7;-7.633333;-35.5;Copaifera langsdorffii Desf.;9;Montane Dense Ombrophilous Atlantic Forest 
Site13;-21.999167;-43.890833;Copaifera langsdorffii Desf.;14;Montane Dense Ombrophilous Atlantic Forest 
Site1;-20.798333;-41.292778;Copaifera lucens Dwyer;21;Submontane Seasonal Atlantic Forest
Site6;-19.616667;-43.4;Copaifera trapezifolia Hayne;1;Montane Seasonal Atlantic Forest 
Site13;-21.999167;-43.890833;Copaifera trapezifolia Hayne;10;Montane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Cordia nodosa Lam.;2;Montane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Cordia sellowiana Cham.;2;Montane Seasonal Atlantic Forest 
Site4;-28.733333;-49.75;Cordia silvestris Fresen.;12;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Cordia silvestris Fresen.;6;Montane Cloud Atlantic Forest
Site14;-21.976389;-43.878889;Cordia trichoclada DC.;7;Montane Cloud Atlantic Forest
Site13;-21.999167;-43.890833;Cordia trichotoma (Vell.) Arrab. ex Steud.;2;Montane Dense Ombrophilous Atlantic Forest 
Site1;-20.798333;-41.292778;Couratari asterotricha Prance;13;Submontane Seasonal Atlantic Forest
Site3;-22.7222082;-42.628058;Couratari pyramidata (Vell.) Kunth;6;Submontane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Coussapoa microcarpa (Schott) Rizzini     ;5;Submontane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Coussarea congestiflora MÃ¼ll.Arg.;1;Montane Seasonal Atlantic Forest 
Site3;-22.7222082;-42.628058;Coussarea nodosa (Benth.) MÃ¼ll.Arg.;7;Submontane Dense Ombrophilous Atlantic Forest 
Site13;-21.999167;-43.890833;Coussarea verticillata Müll.Arg.;13;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Coussarea verticillata Müll.Arg.;8;Montane Cloud Atlantic Forest
Site10;-20.673889;-40.393889;Crataeva tapia L.      ;6;Submontane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Croton floribundus Spreng.;4;Submontane Dense Ombrophilous Atlantic Forest 
Site5;-22.616667;-43.883333;Croton floribundus Spreng.;1;Montane Seasonal Atlantic Forest 
Site7;-7.633333;-35.5;Croton floribundus Spreng.;12;Montane Dense Ombrophilous Atlantic Forest 
Site8;-22.710833;-45.931667;Croton urucurana Baill.;0;High-montane Dense Ombrophilous Atlantic Forest
Site13;-21.999167;-43.890833;Cryptocarya micrantha Meisn.;20;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Cryptocarya micrantha Meisn.;3;Montane Cloud Atlantic Forest
Site2;-22.528333;-50.715556;Cryptocarya moschata Nees & Mart.;1;Montane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Cupania emarginata Cambess.      ;1;Submontane Dense Ombrophilous Atlantic Forest 
Site5;-22.616667;-43.883333;Cupania fluminensis Acev.-Rodr.;1;Montane Seasonal Atlantic Forest 
Site6;-19.616667;-43.4;Cupania ludowigii Somner & Ferrucci;3;Montane Seasonal Atlantic Forest 
Site13;-21.999167;-43.890833;Cupania ludowigii Somner & Ferrucci;3;Montane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Cupania oblongifolia Mart.;25;Submontane Dense Ombrophilous Atlantic Forest 
Site5;-22.616667;-43.883333;Cupania oblongifolia Mart.;11;Montane Seasonal Atlantic Forest 
Site7;-7.633333;-35.5;Cupania oblongifolia Mart.;41;Montane Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Cupania oblongifolia Mart.;6;Lowlands Seasonal Atlantic Forest 
Site3;-22.7222082;-42.628058;Cupania racemosa (Vell.) Radlk.;10;Submontane Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Cupania racemosa (Vell.) Radlk.;2;Lowlands Seasonal Atlantic Forest 
Site16;-8.016667;-35.174167;Cupania racemosa (Vell.) Radlk.;21;Lowlands Dense Ombrophilous Atlantic Forest 
Site11;-8.032611;-35.192125;Cupania revoluta Radlk.;44;Lowlands Seasonal Atlantic Forest 
Site4;-28.733333;-49.75;Cupania vernalis Cambess.;22;Montane Dense Ombrophilous Atlantic Forest 
Site12;-22.003611;-43.888333;Cupania vernalis Cambess.;5;0
Site14;-21.976389;-43.878889;Cupania vernalis Cambess.;6;Montane Cloud Atlantic Forest
Site15;-27.816111;-50.324167;Cupania vernalis Cambess.;14;Mixed Ombrophilous Atlantic Forest
Site6;-19.616667;-43.4;Cyathea corcovadensis (Raddi) Domin;1;Montane Seasonal Atlantic Forest 
Site4;-28.733333;-49.75;Cyathea delgadii Sternb.;6;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Cyathea delgadii Sternb.;7;Montane Cloud Atlantic Forest
Site13;-21.999167;-43.890833;Cybianthus peruvianus (A.DC.) Miq.;6;Montane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Cybistax antisyphilitica (Mart.) Mart.;9;Submontane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Dalbergia brasiliensis Vogel;1;Montane Seasonal Atlantic Forest 
Site6;-19.616667;-43.4;Dalbergia foliolosa Benth.;1;Montane Seasonal Atlantic Forest 
Site5;-22.616667;-43.883333;Dalbergia frutescens (Vell.) Britton;1;Montane Seasonal Atlantic Forest 
Site15;-27.816111;-50.324167;Dalbergia frutescens (Vell.) Britton;9;Mixed Ombrophilous Atlantic Forest
