CodSite;lat;long;specie;NumIndiv;habitat
Site4;-28.733333;-49.75;Euterpe edulis Mart.;645;Montane Dense Ombrophilous Atlantic Forest 
Site14;-21.976389;-43.878889;Euterpe edulis Mart.;6;Montane Cloud Atlantic Forest
Site10;-20.673889;-40.393889;Exostylis venusta Schott      ;6;Submontane Dense Ombrophilous Atlantic Forest 
Site9;-25.444167;-48.931667;Faramea hyacinthina Mart.;0;Montane Dense Ombrophilous Atlantic Forest 
Site6;-19.616667;-43.4;Ferdinandusa Pohl;2;Montane Seasonal Atlantic Forest 
Site3;-22.7222082;-42.628058;Ficus adhatodifolia Schott in Spreng.;2;Submontane Dense Ombrophilous Atlantic Forest 
Site2;-22.528333;-50.715556;Ficus clusiifolia Schott;1;Montane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Ficus clusiifolia Schott;3;Submontane Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Ficus cyclophylla (Miq.) Miq.     ;3;Submontane Dense Ombrophilous Atlantic Forest 
Site5;-22.616667;-43.883333;Ficus enormis Mart. ex Miq.;2;Montane Seasonal Atlantic Forest 
Site10;-20.673889;-40.393889;Ficus hirsuta Schott      ;1;Submontane Dense Ombrophilous Atlantic Forest 
Site4;-28.733333;-49.75;Ficus luschnathiana (Miq.) Miq.;4;Montane Dense Ombrophilous Atlantic Forest 
Site2;-22.528333;-50.715556;Ficus pulchella Schott;1;Montane Dense Ombrophilous Atlantic Forest 
Site2;-22.528333;-50.715556;Galipea laxiflora Engl.;5;Montane Dense Ombrophilous Atlantic Forest 
Site1;-20.798333;-41.292778;Gallesia integrifolia (Spreng.) Harms;4;Submontane Seasonal Atlantic Forest
Site2;-22.528333;-50.715556;Gallesia integrifolia (Spreng.) Harms;4;Montane Dense Ombrophilous Atlantic Forest 
Site3;-22.7222082;-42.628058;Garcinia brasiliensis Mart.;1;Submontane Dense Ombrophilous Atlantic Forest 
Site7;-7.633333;-35.5;Garcinia brasiliensis Mart.;19;Montane Dense Ombrophilous Atlantic Forest 
Site13;-21.999167;-43.890833;Garcinia brasiliensis Mart.;5;Montane Dense Ombrophilous Atlantic Forest 
Site16;-8.016667;-35.174167;Garcinia brasiliensis Mart.;2;Lowlands Dense Ombrophilous Atlantic Forest 
Site10;-20.673889;-40.393889;Garcinia brasiliensis Mart.;16;Submontane Dense Ombrophilous Atlantic Forest 
Site2;-22.528333;-50.715556;Garcinia gardneriana (Planch. & Triana) Zappi;7;Montane Dense Ombrophilous Atlantic Forest 
